sha	subject
1ee929e4b9b1ec9c5aba45363f9322c845d948a6	fix: broadcast channel cache invalidations
6d339ec93b35fb1e7b51388519c415c0ed068d54	fix: honor persisted cooldown when dropping in-process account blocks
5fea83dcaedf49d0b6d866595de7d3c256256d2f	fix: 修复429未耗尽额度仍触发账号退避
ca9b4d73f2bc680c243ee7a6da6667bd6e83a710	fix(openai-ws): share immutable replay bodies to stop O(T²) copying
0e08c399994fc1934bdae20123a044b8dd0ed995	fix(openai-ws): remember rejected encrypted content across turns
163eb7ffae9c1327735fc5cadb108eda67d3ecf2	fix(ops): bound database-backed system logs
c74a4f521c7b71635b20a2f15e9d2758991de05c	fix(billing): 补上 glm-5.3 / glm-5.3-flash 兜底价，避免被 glm-5 子串匹配抢走
a10ff1255cbaf2ec61dc9dcbc647cbc5bf5d3535	fix(openai-ws): classify canceled client streams
5fb5dfb34cd1540a39639983f0e7b17c2a62ce58	fix(openai): reacquire passthrough turn slots
222181efd6bebc28d2258a7ac5b5b4a8044fb649	fix(anthropic): scope Fable credits errors to model
a7742306616c9596bb564d790d5a21e5a88dd0b0	fix(grok): keep inconclusive billing accounts eligible
5097b31457e6dc9f49e5f5c9c72b925ce79543b3	chore: sync VERSION to 0.2.0 [skip ci]
9ad386569051b60fae616932eca876a7e4f78538	fix(gateway): 负载感知调度补齐渠道模型限制的逐账号检查
01bd9b71a26fbb28ef11840b3a7f1a3e3589ef1c	feat: add Grok media eligibility controls
81fd8530056c6480df8e69770a85d8f411340290	feat(upstream): add HTTP/2 PING keepalive for long LLM generation streams
9dc4c40bff675cadd95e78a106c5325472ba3f8a	test(upstream): align HTTP/2 keepalive tests with long-stream profile API
f5e4da5e72acd4fb026e0e97e7dfc61eae29735c	style(upstream): gofmt http_upstream_profile.go
a7f1ed8fa49a2f3a7ae9ba81eac45f8d22f426f7	fix(openai-ws): track pending passthrough turns
9be9c0b68c47eb433d886453deecf73c7ed55d68	fix(gateway): 转发失败的请求立即释放会话槽，不再占用整个空闲超时窗口
1859519573deed0a60bd99cc18d10216377aafa8	feat(deploy): support optional Apple network subnet
8249ab37dbc20eff0abfebac58d63dd9a7fd62a7	feat: add Anthropic reasoning effort pricing controls
10c8f523c49663d6061eabc1cdce13a2a975063f	fix(openai): preserve passthrough reasoning effort
b6740c937f007a0e103d182bc6197c31e3c3a14f	fix(openai): recover unavailable continuation responses
fdc2ec17e6776bef109c5ea614af28218e56299b	feat(pricing): fallback/override 定价文件按内容哈希随定时器热重载
5e4958c889e0e8a31591a819eb046562807d8beb	fix(openai): schedule accounts with mapped model
af90a9bd1fbcee62c5e8a87dbb3bd71ee4216f27	fix(openai): 兼容历史任务委派续聊
62198286e93a6ecf3c157417c80d136b68bd84c4	[verified] fix(handler): distinguish gateway admission rejections
e9e3c46cb76f564554357507102caf44cc79857d	fix(ops): snapshot proxy on upstream errors
4c1f920d58d6f8b0e2421a42b76f2661fafe4a61	fix(ops): close proxy attribution gaps and bound queued upstream events
78fc7b171ec1a802a8d267d0dcc159539ddb0094	test: skip live token comparison on network errors
abc07bb0799c7c8cc15795898d4acec247c7a59c	test(ops): satisfy errcheck and gofmt in proxy attribution tests
b1748c4ea99ce2120401a269142aa071e18a84da	chore: update sponsors
de8d756afae96f74d46c08f7633eb7e186c25176	fix(payment): reconcile pending Alipay orders
28dde982cb5526d873204a50289928357c10f64f	fix(openai): normalize automation heartbeat bootstrap
de27905e88aa291acd2a292e2b439bce3de0f118	feat(usage): 用量记录落库上游请求标识并支持按账户配置响应头名
3e60c3b86b4849bdd283f92cb88b5a7c1a79d456	fix: add compact admin account list DTO
994192ef4f22baf546c032f557bfb6d14b1dcaf4	fix: type admin account list responses
db15e0090aace48e62f952c6a294f38048cf6288	fix: keep account table on compact list responses
a3a6a85b73887e8f7961ae25c828d64854f25b9f	test(admin): assert nested credential redaction in lite lists
f5ae32e53f6d1b42f4da6c78ff06fbd3d870f156	fix(gateway): normalize GLM-5.3 thinking effort
3c8be00131e69d432246855d14ff014d9f7c10e2	feat(openai): add GPT-6 Astra support
126ac24c8cb4d98ff2a02f46f0008201cd419c10	feat(codex): support ultrafast service tier
aa556c372f85f0f5d41398d80d5972e53f708c16	fix(frontend): allow collapsing sidebar groups while a child route is active
6cf645f87cbe3b616fd4a977e472ee4253d8bc85	fix(openai): scope OpenCode session forwarding
c7538cd256c2f60ed909402213ef869acef2f8b2	fix(codex): advertise search capability for bridged routes
51631d032474fe8001d0711b067ba9ac8e65a78f	fix(apicompat): preserve discovered tools in chat fallback
9ddf69698d41af3b05e4fe4560f5d9d41b81ebbe	fix(ops): preserve zero-valued system metrics
28f673e4cde06ed68fc56c1718b6ac6776bef311	fix(gemini): honor custom native models list
1e28ef59423f121761fd0b7bb95e2fac03ebe823	feat(codex): pinned-accounts Codex model manifest for OpenAI groups
e9bad40b10a8fc8879f65ac38a31beeaa5a64523	feat(claude): allow operators to override the advertised CLI version
4aaf5cb73bfe87e6dc8502c7bab4023229d43c5e	fix(openai): enable Astra messages prompt caching
6271c517da6ec76905667fb5f2bcd958d5acdfd9	fix(apicompat): preserve arguments from done events
7969751f1f0aaa262d7c0a2550d0f12c0fed8a35	feat(openai): allow none as reasoning mapping source
983a3db3afc0a7f08b51e4e3091b0c75801b6a6f	fix(openai): persist GPT-6 Astra Codex capabilities from upstream sync
a016bd4ba5dd1920c11d0c853f56c3f2f3c94e11	style: gofmt upstream models capability sync tests
1cab4d8c22bb79a82970a467a2492e5ff0a763d9	fix: make custom pricing reload coherent
708b85a6a4b853f6db3c488c0c84701edf1e7929	fix: complete upstream request id handling
3c53ba01a7747d7f40302bd15e1d92c908fddbad	feat(images): 账户开关将生图结果 url 下载回填为 b64_json
2da31290a1bcbf68fbf49c8f13b4c3ddb3d29d1e	fix(openai): record WS cyber policy failures across paths
c227863d51468bee3a48f999515bd233bc2d41cf	fix(images): 生图 url 回填下载拒绝私网目的地并只信字节嗅探
3bdb869fcad8ce2c6881a3f503c2964ef23d5575	fix(billing): resolve Gemini 3.7/3.8 Flash thinking-tier prices
cff3f89850738e3504e35b01c9b4028d62b65a01	feat(groups)!: enforce model allowlists across gateway endpoints
55c5eed9fc74debfeb774790f88ecfd6c3466e2f	test(repository): persist model allowlists in group fixtures
d7f048a2656612059ae764dcf48f1571ff592e73	fix(openai): preserve synced Astra capabilities and continuation
62cd63bfdab33d4bff289be8fe5bfc98eda23294	fix(openai): retain capabilities when model listing is unavailable
994ca26e9270ef5bb631fc6b2dd5f4bfbd5f9e06	fix(claude): align billing fingerprint with outbound user agent
2e1c7c00a686fbc446f94634522e31724ac23dc5	test(claude): check request body close errors
b1ce821c497adabcdce6631577134b6ac23040ec	fix(frontend): preserve Codex manifest edit state
ab99d56e9626e6cd731592dae8553c9758a0efa2	chore: sync VERSION to 0.2.1 [skip ci]
a16070ccf62200674d51ad2fb3ae58ba50b013d3	fix(auth): show a loading placeholder for Turnstile
00eabe8ab9dd9de16cf07f62a165b98671c40a97	feat(accounts): add month and year expiry presets
