candidate	release	tier	batch	ALREADY	CLEAN	CONFLICT	NOBASE	reason	subject
5097b31457e6dc9f49e5f5c9c72b925ce79543b3	v0.2.1	4	-	0	0	1	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: sync VERSION to 0.2.0 [skip ci]
432ebc498cb395696d0be9762a33f70a63bf9375	v0.2.1	3	-	0	40	10	5	Proxy attribution and queue bounding span 55 files, including five absent native adapters; take only if detailed ops diagnostics are used.	Merge pull request #6179 from wwcchh0123/codex/upstream-error-proxy-attribution
b1748c4ea99ce2120401a269142aa071e18a84da	v0.2.1	4	-	0	2	3	0	Upstream version/sponsor metadata; keep fork version and branding.	chore: update sponsors
d8b9a83f8cda66a821b3dcadf8ecbdd2c6c65b90	v0.2.1	1	F03	0	1	1	0	Per-account channel restrictions	Merge pull request #6492 from feeeei/main
78e1aaedb983a3e30d250e15b1093be3d3ca8018	v0.2.1	2	S07	0	2	1	0	Pricing reload and none reasoning mapping	Merge pull request #6535 from feeeei/feat/pricing-custom-file-hot-reload
91cf660377af627c1e48a2f20776982ae6dc3df1	v0.2.1	2	S01	0	6	4	0	Immutable WS replay and rejected encryption lineage	Merge pull request #6397 from feeeei/fix/openai-ws-replay-oom-6382
701f844755aa4b9dd1d79ae621820a9b3dcf469d	v0.2.1	3	-	0	44	17	3	Upstream request ID storage adds two migrations and crosses every provider; useful for support, optional for personal use.	Merge pull request #6555 from feeeei/feat/usage-upstream-request-id
c4e6dcfd80abe36e98718c95b98f17e4ba2737df	v0.2.1	3	-	0	30	10	1	Pinned-account manifest is a new group configuration with migration; take together with #6662 and #6688.	Merge pull request #6602 from ZeroClover/feat/codex-manifest-pinned-accounts
15278fe2f9f145eb1e45ad136901c0da83cd0be0	v0.2.1	2	S10	0	1	1	0	Compact account lists and retained admin UI fixes	Merge pull request #6580 from OG-Wang/fix/sidebar-collapse-when-active
570bd084c23429077dec0bede49157f8e4191ea7	v0.2.1	1	F12	0	2	0	0	Preserve zero metrics	Merge pull request #6594 from wucm667/fix/issue-6592-preserve-zero-system-metrics
2ad6e8fb75dfd2ad75744da1cac7827a96a0fffc	v0.2.1	3	-	0	5	1	0	Only needed when custom Gemini model listings are configured; existing helper base is present.	Merge pull request #6599 from wucm667/fix/issue-6598-gemini-custom-models-list
eba6ea563991d62d6742d5c1ae1ae8514b708e35	v0.2.1	3	-	0	2	0	0	Search capability advertisement should follow completion of the older tool bridge, not precede it.	Merge pull request #6590 from wucm667/fix/issue-6582-search-tool-capability
d7fb9b5d35bf3f19cf68df9c329974ce99f7932a	v0.2.1	2	S05	0	2	1	0	Tool arguments, discovery and bootstrap compatibility	Merge pull request #6593 from wucm667/fix/issue-6584-chat-tool-discovery
85f431a072b391e704df6cc3a12f7db46b62d1ef	v0.2.1	2	S06	0	3	0	0	Astra model and capability support	Merge pull request #6620 from wucm667/fix/issue-6615-astra-messages-cache
8f1d6af3ed1aae36d2b95cfdbb827ba535787562	v0.2.1	1	F04	0	2	0	0	Unavailable continuation recovery	Merge pull request #6531 from wucm667/fix/issue-6524-continuation-unavailable-recovery
63dc24b5e8a736279d60c8270b763c3e733c9688	v0.2.1	2	S07	0	5	1	0	Pricing reload and none reasoning mapping	Merge pull request #6626 from wucm667/feat/issue-6624-none-reasoning-mapping
