PR	state	file
6924	CLEAN	backend/internal/pkg/openai/request.go
6924	CLEAN	backend/internal/pkg/openai/request_ua_validation_test.go
6924	CLEAN	backend/internal/service/openai_codex_identity.go
6924	CLEAN	backend/internal/service/openai_ua_validation_test.go
7082	CLEAN	backend/internal/service/antigravity_token_provider.go
7082	CLEAN	backend/internal/service/token_cache_invalidator.go
7082	CLEAN	backend/internal/service/token_cache_key_test.go
7162	CLEAN	backend/internal/service/antigravity_gateway_service_test.go
7162	CLEAN	backend/internal/service/antigravity_gateway_streaming.go
7022	CLEAN	backend/internal/service/gateway_accept_encoding_test.go
7022	CLEAN	backend/internal/service/header_util.go
7073	CLEAN	backend/internal/service/batch_image_public.go
7073	CLEAN	backend/internal/service/batch_image_public_test.go
6904	CLEAN	backend/internal/repository/account_repo_integration_test.go
6904	CLEAN	backend/internal/repository/scheduler_cache.go
6904	CLEAN	backend/internal/repository/scheduler_threshold_cache_unit_test.go
6969	CLEAN	backend/internal/service/admin_group.go
6969	CLEAN	backend/internal/service/admin_service_group_test.go
6973	CLEAN	frontend/src/views/user/PaymentView.vue
6843	CLEAN	frontend/src/components/admin/usage/UsageTable.vue
6843	CLEAN	frontend/src/components/admin/usage/__tests__/UsageTable.spec.ts
7012	CLEAN	backend/internal/payment/provider/easypay_refund_test.go
7012	CLEAN	backend/internal/service/payment_config_providers.go
7012	CLEAN	backend/internal/service/payment_config_providers_test.go
7012	CLEAN	frontend/src/components/payment/PaymentProviderDialog.vue
7012	CLEAN	frontend/src/components/payment/__tests__/PaymentProviderDialog.spec.ts
7012	CLEAN	frontend/src/i18n/locales/en/admin/settings.ts
7012	CLEAN	frontend/src/i18n/locales/zh/admin/settings.ts
7052	CLEAN	backend/internal/server/middleware/admin_auth.go
7052	CLEAN	backend/internal/server/middleware/jwt_auth.go
7052	CLEAN	backend/internal/server/middleware/jwt_auth_test.go
7052	CLEAN	frontend/src/api/__tests__/client.spec.ts
7052	CLEAN	frontend/src/api/client.ts
7024	CLEAN	frontend/src/views/admin/SubscriptionsView.vue
7024	NOBASE	frontend/src/views/admin/__tests__/SubscriptionsView.userUsageLink.spec.ts
7050	CLEAN	frontend/src/components/user/profile/ProfileBalanceNotifyCard.vue
7050	CLEAN	frontend/src/components/user/profile/__tests__/ProfileBalanceNotifyCard.spec.ts
7053	CLEAN	frontend/src/views/admin/ProxiesView.vue
7053	CLEAN	frontend/src/views/admin/__tests__/ProxiesView.filters.spec.ts
6912	CLEAN	frontend/src/views/admin/RedeemView.vue
6925	CLEAN	backend/internal/pkg/apicompat/responses_to_anthropic.go
6925	CLEAN	backend/internal/pkg/apicompat/responses_to_anthropic_text_recovery_test.go
7094	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_bridge.go
7094	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_bridge_test.go
7094	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_tool_output_media_test.go
6965	CLEAN	backend/internal/service/openai_ws_client.go
6965	CONFLICT	backend/internal/service/openai_ws_forwarder_ingress.go
6965	CLEAN	backend/internal/service/openai_ws_forwarder_ingress_retry_test.go
6965	CLEAN	backend/internal/service/openai_ws_forwarder_logutil.go
6965	CLEAN	backend/internal/service/openai_ws_forwarder_v2.go
6965	CONFLICT	backend/internal/service/openai_ws_pool.go
6965	CLEAN	backend/internal/service/openai_ws_pool_reader_loop_test.go
7064	CONFLICT	backend/internal/config/config.go
7064	CLEAN	backend/internal/service/openai_ws_pool.go
7064	CLEAN	backend/internal/service/openai_ws_pool_test.go
7064	CONFLICT	deploy/config.example.yaml
7064	CONFLICT	frontend/src/components/account/BulkEditAccountModal.vue
7064	CLEAN	frontend/src/components/account/CreateAccountModal.vue
7064	CLEAN	frontend/src/components/account/EditAccountModal.vue
7064	CLEAN	frontend/src/i18n/__tests__/wsModeLocaleDesc.spec.ts
7064	CLEAN	frontend/src/i18n/locales/en/admin/accounts.ts
7064	CLEAN	frontend/src/i18n/locales/zh/admin/accounts.ts
7064	CLEAN	frontend/src/utils/__tests__/openaiWsMode.spec.ts
7064	CLEAN	frontend/src/utils/openaiWsMode.ts
7043	CLEAN	backend/internal/config/config.go
7043	CLEAN	backend/internal/config/config_test.go
7043	CLEAN	deploy/config.example.yaml
6689	CONFLICT	backend/internal/pkg/antigravity/request_transformer.go
6689	CLEAN	backend/internal/pkg/antigravity/request_transformer_test.go
6689	CLEAN	backend/internal/service/antigravity_gateway_compat.go
6689	CLEAN	backend/internal/service/antigravity_gateway_compat_test.go
6689	CLEAN	backend/internal/service/antigravity_gateway_gemini.go
6689	CONFLICT	backend/internal/service/antigravity_gateway_service_test.go
6977	CLEAN	backend/internal/service/account.go
6977	CLEAN	backend/internal/service/account_wildcard_test.go
6977	CONFLICT	backend/internal/service/openai_codex_transform.go
6977	CLEAN	backend/internal/service/openai_model_mapping.go
6977	CLEAN	backend/internal/service/openai_model_mapping_test.go
7076	CLEAN	backend/internal/handler/admin/account_handler.go
7076	CLEAN	frontend/src/api/admin/accounts.ts
7076	CLEAN	frontend/src/views/admin/AccountsView.vue
7076	CONFLICT	frontend/src/views/admin/__tests__/AccountsView.lite.spec.ts
6661	CLEAN	backend/internal/handler/grok_media.go
6661	CLEAN	backend/internal/handler/grok_media_slots_test.go
6661	CLEAN	backend/internal/service/grok_media.go
6661	CLEAN	backend/internal/service/grok_media_selection_test.go
6661	CONFLICT	backend/internal/service/openai_account_scheduler.go
6964	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_bridge.go
6964	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_bridge_additional_tools_test.go
6964	CLEAN	backend/internal/pkg/apicompat/chatcompletions_responses_bridge_agent_message_test.go
6943	CLEAN	backend/internal/service/gateway_claude_oauth_body.go
6943	CLEAN	backend/internal/service/gateway_count_tokens.go
6943	CONFLICT	backend/internal/service/gateway_forward.go
6943	CLEAN	backend/internal/service/gateway_system_cache_control_test.go
7074	CLEAN	backend/internal/service/openai_account_scheduler.go
7074	CLEAN	backend/internal/service/openai_account_scheduler_canonical_quota_test.go
7074	CLEAN	backend/internal/service/openai_gateway_scheduling.go
7026	CLEAN	frontend/src/views/user/KeysView.vue
7026	CLEAN	frontend/src/views/user/__tests__/KeysView.spec.ts
7112	CLEAN	frontend/src/composables/useAutoRefresh.ts
7112	CLEAN	frontend/src/views/user/ChannelStatusV1View.vue
7112	CLEAN	frontend/src/views/user/__tests__/ChannelStatusV1View.refresh.spec.ts
7072	CONFLICT	backend/internal/service/openai_account_scheduler.go
7072	CLEAN	backend/internal/service/openai_account_scheduler_metrics_test.go
6869	CONFLICT	backend/internal/handler/openai_automation_bootstrap_test.go
6869	CLEAN	backend/internal/handler/openai_gateway_handler.go
6783	CLEAN	backend/internal/pkg/httputil/body.go
